Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint,dCt,dct Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1_P1+2_MT_20210723,O1,Naïve_P2.1-2,Naïve_P2.1-2,,36.86654844,31.51657587,5.349972567,6.00269147,6.284573211,0.192353255,-0.934600644,-0.281881741,1.215779621
Rd2.1_P1+2_MT_20210723,O2,Naïve_P2.1-2,Naïve_P2.1-2,,38.36032349,31.78855306,6.571770435,,,,0.287197224,,
Rd2.1_P1+2_MT_20210723,O3,Naïve_P2.1-2,Naïve_P2.1-2,,37.72590678,31.63957538,6.086331407,,,,-0.198241804,,
Rd2.1_P1+2_MT_20210723,O4,Naïve_P2.1-2,Naïve_P2.1-2,,29.58836102,23.22020567,6.368155357,6.407004884,,,0.083582146,0.122431673,0.918637974
Rd2.1_P1+2_MT_20210723,O5,Naïve_P2.1-2,Naïve_P2.1-2,,29.7500298,23.31810129,6.431928507,,,,0.147355296,,
Rd2.1_P1+2_MT_20210723,O6,Naïve_P2.1-2,Naïve_P2.1-2,,29.74383337,23.32290259,6.420930787,,,,0.136357576,,
Rd2.1_P1+2_MT_20210723,P1,Naïve_P2.1-2,Naïve_P2.1-2,,29.7517062,23.86392465,5.887781545,6.408117943,,,-0.396791666,0.123544732,0.917929506
Rd2.1_P1+2_MT_20210723,P2,Naïve_P2.1-2,Naïve_P2.1-2,,30.71921101,23.29031859,7.428892414,,,,1.144319203,,
Rd2.1_P1+2_MT_20210723,P3,Naïve_P2.1-2,Naïve_P2.1-2,,30.7172087,24.80952883,5.90767987,,,,-0.376893341,,
Rd2.1_P1+2_MT_20210723,P4,Naïve_P2.1-2,Naïve_P2.1-2,,29.58038617,23.26856385,6.311822327,6.320478548,,,0.027249115,0.035905337,0.975419462
Rd2.1_P1+2_MT_20210723,P5,Naïve_P2.1-2,Naïve_P2.1-2,,29.7912069,23.42929392,6.361912984,,,,0.077339773,,
Rd2.1_P1+2_MT_20210723,P6,Naïve_P2.1-2,Naïve_P2.1-2,,29.71683203,23.42913169,6.287700334,,,,0.003127123,,
Rd2.1_P1+2_MT_20210723,M10,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,31.63442522,24.16756044,7.466864785,,,,1.182291574,1.001114281,0.499613969
Rd2.1_P1+2_MT_20210723,M11,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,31.63651193,24.27996255,7.356549385,,,,1.071976174,,
Rd2.1_P1+2_MT_20210723,M12,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,31.31893262,24.28528432,7.033648307,,,,0.749075096,,
Rd2.1_P1+2_MT_20210723,M22,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,32.54582046,24.56828422,7.977536238,,,,1.692963027,1.653989923,0.317760142
Rd2.1_P1+2_MT_20210723,M23,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,32.55698548,24.64463163,7.912353845,,,,1.627780634,,
Rd2.1_P1+2_MT_20210723,M24,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,32.60126312,24.6754638,7.925799319,,,,1.641226107,,
Rd2.1_P1+2_MT_20210723,O7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,32.09004057,23.67122063,8.418819938,,,,2.134246727,2.173843816,0.221619416
Rd2.1_P1+2_MT_20210723,O8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,32.19753072,23.71964978,8.477880941,,,,2.19330773,,
Rd2.1_P1+2_MT_20210723,O9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,32.19578935,23.71723915,8.478550202,,,,2.193976991,,
Rd2.1_P1+2_MT_20210723,P7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,33.71279476,24.76578871,8.947006049,,,,2.662432837,2.511044361,0.175428571
Rd2.1_P1+2_MT_20210723,P8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,33.48026048,24.61389331,8.866367168,,,,2.581793957,,
Rd2.1_P1+2_MT_20210723,P9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,33.19966938,24.62618988,8.5734795,,,,2.288906289,,
Rd2.1_P1+2_MT_20210723,O10,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,30.05901089,22.80015244,7.258858447,,,,0.974285236,1.034655959,0.488132272
Rd2.1_P1+2_MT_20210723,O11,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,30.18792543,22.88038289,7.307542541,,,,1.02296933,,
Rd2.1_P1+2_MT_20210723,O12,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,30.29922504,22.90793852,7.391286522,,,,1.106713311,,
Rd2.1_P1+2_MT_20210723,P10,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,32.32959341,24.69796433,7.63162908,,,,1.347055869,1.190043634,0.438289605
Rd2.1_P1+2_MT_20210723,P11,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,32.24951023,24.7059587,7.543551529,,,,1.258978318,,
Rd2.1_P1+2_MT_20210723,P12,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,32.01172018,24.76305025,7.248669926,,,,0.964096715,,
Rd2.1_P1+2_MT_20210723,O13,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,29.99375437,23.05759665,6.936157725,,,,0.651584513,0.665279702,0.630566442
Rd2.1_P1+2_MT_20210723,O14,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,30.07587068,23.14044288,6.935427805,,,,0.650854593,,
Rd2.1_P1+2_MT_20210723,O15,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,30.14776767,23.16979446,6.977973209,,,,0.693399998,,
Rd2.1_P1+2_MT_20210723,P13,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,33.5298881,26.73426688,6.795621226,,,,0.511048015,0.557077963,0.67967739
Rd2.1_P1+2_MT_20210723,P14,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,33.83055868,26.62246584,7.208092834,,,,0.923519623,,
Rd2.1_P1+2_MT_20210723,P15,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,33.03029842,26.50905896,6.521239462,,,,0.236666251,,
Rd2.1_P1+2_MT_20210723,O16,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,,29.29453105,22.72474203,6.569789025,,,,0.285215814,0.319464676,0.801367176
Rd2.1_P1+2_MT_20210723,O17,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,,29.37030246,22.77953867,6.590763785,,,,0.306190574,,
Rd2.1_P1+2_MT_20210723,O18,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,,29.46888191,22.81732105,6.651560852,,,,0.366987641,,
Rd2.1_P1+2_MT_20210723,P16,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,,30.54111345,23.25786918,7.283244271,,,,0.99867106,0.99689153,0.501078475
Rd2.1_P1+2_MT_20210723,P17,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,,30.4990212,23.26555288,7.233468316,,,,0.948895105,,
Rd2.1_P1+2_MT_20210723,P18,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,,30.71691416,23.38923253,7.327681638,,,,1.043108426,,
Rd2.1_P1+2_MT_20210723,N10,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,,31.56369967,23.94023659,7.623463085,,,,1.338889874,1.199220809,0.435510435
Rd2.1_P1+2_MT_20210723,N11,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,,31.31017643,24.04052244,7.269653989,,,,0.985080778,,
Rd2.1_P1+2_MT_20210723,N12,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,,31.66557157,24.10730658,7.558264987,,,,1.273691776,,
Rd2.1_P1+2_MT_20210723,N22,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,,31.82562796,24.03612836,7.789499603,,,,1.504926392,1.470777349,0.360787848
Rd2.1_P1+2_MT_20210723,N23,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,,31.87150254,24.13653724,7.734965306,,,,1.450392095,,
Rd2.1_P1+2_MT_20210723,N24,Ionis77_10_P2.1-2,Ionis77_10uM_P2.1-2,,31.87861024,24.13702347,7.741586769,,,,1.457013558,,
Rd2.1_P1+2_MT_20210723,M4,KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,32.82290542,24.34652781,8.476377614,,,,2.191804402,2.304994765,0.202361288
Rd2.1_P1+2_MT_20210723,M5,KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,33.15714424,24.39330964,8.763834598,,,,2.479261387,,
Rd2.1_P1+2_MT_20210723,M6,KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,32.92478266,24.39629095,8.528491717,,,,2.243918506,,
Rd2.1_P1+2_MT_20210723,M16,KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,34.09628655,25.1310792,8.965207348,,,,2.680634137,2.748024064,0.148854623
Rd2.1_P1+2_MT_20210723,M17,KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,34.17319477,25.17515291,8.998041861,,,,2.71346865,,
Rd2.1_P1+2_MT_20210723,M18,KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,34.34061257,25.20606996,9.134542616,,,,2.849969405,,
Rd2.1_P1+2_MT_20210723,L4,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,32.32698964,23.73414722,8.592842421,,,,2.30826921,2.096112795,0.233887588
Rd2.1_P1+2_MT_20210723,L5,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,32.08042731,23.74708764,8.333339666,,,,2.048766455,,
Rd2.1_P1+2_MT_20210723,L6,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,31.99551686,23.77964093,8.21587593,,,,1.931302719,,
Rd2.1_P1+2_MT_20210723,L16,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,31.95120192,23.53264502,8.418556897,,,,2.133983686,2.108504382,0.231887285
Rd2.1_P1+2_MT_20210723,L17,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,32.00419742,23.5737254,8.430472029,,,,2.145898818,,
Rd2.1_P1+2_MT_20210723,L18,KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,H228R_cDNA,31.98318848,23.65298463,8.330203854,,,,2.045630643,,
Rd2.1_P1+2_MT_20210723,K1,KQ280_10_P2.1-2,KQ280_L20_5-10-5_10uM_P2.1-2,rs8113956,32.09698406,23.53401853,8.562965534,,,,2.278392323,2.275415992,0.206553013
Rd2.1_P1+2_MT_20210723,K2,KQ280_10_P2.1-2,KQ280_L20_5-10-5_10uM_P2.1-2,rs8113956,32.17106858,23.6097025,8.561366079,,,,2.276792868,,
Rd2.1_P1+2_MT_20210723,K3,KQ280_10_P2.1-2,KQ280_L20_5-10-5_10uM_P2.1-2,rs8113956,32.20601894,23.65038294,8.555635998,,,,2.271062787,,
