Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint,dCt,dct Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1.2_P1+2_Total_20210727,O1,Naïve_P2.1-2,Naïve_P2.1-2,,31.10080358,24.27866062,6.822142951,6.960726589,7.100985258,0.131308334,-0.278842306,-0.140258669,1.102102701
Rd2.1.2_P1+2_Total_20210727,O2,Naïve_P2.1-2,Naïve_P2.1-2,,31.3751988,24.34237004,7.032828754,,,,-0.068156503,,
Rd2.1.2_P1+2_Total_20210727,O3,Naïve_P2.1-2,Naïve_P2.1-2,,31.34533621,24.31812815,7.02720806,,,,-0.073777198,,
Rd2.1.2_P1+2_Total_20210727,O4,Naïve_P2.1-2,Naïve_P2.1-2,,34.75752098,25.9173644,8.840156584,8.616888182,,,1.739171326,1.515902924,0.349677549
Rd2.1.2_P1+2_Total_20210727,O5,Naïve_P2.1-2,Naïve_P2.1-2,,33.96615965,25.95697879,8.009180856,,,,0.908195599,,
Rd2.1.2_P1+2_Total_20210727,O6,Naïve_P2.1-2,Naïve_P2.1-2,,35.01719525,26.01586815,9.001327106,,,,1.900341848,,
Rd2.1.2_P1+2_Total_20210727,P1,Naïve_P2.1-2,Naïve_P2.1-2,,31.94075511,24.97308395,6.967671154,7.121239671,,,-0.133314103,0.020254414,0.986058802
Rd2.1.2_P1+2_Total_20210727,P2,Naïve_P2.1-2,Naïve_P2.1-2,,32.23857452,24.94934331,7.289231211,,,,0.188245953,,
Rd2.1.2_P1+2_Total_20210727,P3,Naïve_P2.1-2,Naïve_P2.1-2,,32.05215864,24.94534199,7.106816649,,,,0.005831391,,
Rd2.1.2_P1+2_Total_20210727,P4,Naïve_P2.1-2,Naïve_P2.1-2,,32.31464068,25.02476367,7.289877009,7.220989513,,,0.188891752,0.120004256,0.920184936
Rd2.1.2_P1+2_Total_20210727,P5,Naïve_P2.1-2,Naïve_P2.1-2,,32.12637223,25.09652169,7.029850543,,,,-0.071134715,,
Rd2.1.2_P1+2_Total_20210727,P6,Naïve_P2.1-2,Naïve_P2.1-2,,32.39377761,25.05053662,7.343240988,,,,0.24225573,,
Rd2.1.2_P1+2_Total_20210727,M10,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,37.4622326,29.05174948,8.410483118,,,,1.309497861,0.998860333,0.500395135
Rd2.1.2_P1+2_Total_20210727,M11,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.55342126,28.94767339,7.60574786,,,,0.504762603,,
Rd2.1.2_P1+2_Total_20210727,M12,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,37.42345031,29.14014452,8.283305793,,,,1.182320536,,
Rd2.1.2_P1+2_Total_20210727,M22,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.0621193,28.49328204,7.568837253,,,,0.467851995,0.656935934,0.634223863
Rd2.1.2_P1+2_Total_20210727,M23,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,35.9099954,28.4129148,7.497080605,,,,0.396095347,,
Rd2.1.2_P1+2_Total_20210727,M24,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.77290155,28.56505583,8.207845717,,,,1.10686046,,
Rd2.1.2_P1+2_Total_20210727,O7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,36.21159233,26.91126017,9.30033216,,,,2.199346902,2.445162992,0.183625333
Rd2.1.2_P1+2_Total_20210727,O8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,36.68789722,26.91995804,9.76793918,,,,2.666953923,,
Rd2.1.2_P1+2_Total_20210727,O9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,36.63771171,27.0675383,9.570173408,,,,2.46918815,,
Rd2.1.2_P1+2_Total_20210727,P7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,, ,31.94074173,,,,,,,
Rd2.1.2_P1+2_Total_20210727,P8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,, ,31.91453674,,,,,,,
Rd2.1.2_P1+2_Total_20210727,P9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,, ,32.41870903,,,,,,,
Rd2.1.2_P1+2_Total_20210727,O10,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,33.65680591,24.72689519,8.929910717,,,,1.828925459,1.722085662,0.303110207
